aggregate_type,producer_evidence,source_owner,source_identity,protected_keys,mutability,serializer,applier,recovery,terminal_predicate
PARTY_IDENTITY,"feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,"PARTY_IDENTITY:partyId",BRIDGE/TOMBSTONE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
PARTY_ROLE,"data/database/src/main/kotlin/com/verto/app/data/local/dao/PartyRoleDao.kt:enqueueSyncOperation",party_sync_outbox,"id + proven org/partyId/role","PARTY_IDENTITY:partyId;PARTY_ROLE:partyId:role",BRIDGE/TOMBSTONE,PartyPayloadV2,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
CUSTOMER_PROFILE,"feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,"PARTY_IDENTITY:partyId;CUSTOMER_PROFILE:partyId",BRIDGE/TOMBSTONE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
SUPPLIER_PROFILE,"feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,"PARTY_IDENTITY:partyId;SUPPLIER_PROFILE:partyId",BRIDGE/TOMBSTONE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
NOTE,"data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,NOTE:noteId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
REMINDER,data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue,sync_outbox,mutation_id,REMINDER:reminderId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
INVOICE,data/operations/src/main/kotlin/com/verto/app/data/operations/transaction/FinancialOutboxWriter.kt:enqueue,financial_outbox,event_id,"INVOICE:invoiceId;INVOICE_ITEMS:invoiceId",SEMANTIC/VOID_OR_REVERSE,UnifiedStrongerSourceFactory.financial,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
PAYMENT,data/operations/src/main/kotlin/com/verto/app/data/operations/transaction/FinancialOutboxWriter.kt:enqueue,financial_outbox,event_id,"INVOICE:invoiceId;INVOICE_ITEMS:invoiceId;PAYMENT:paymentId;PAYMENT_ALLOCATIONS:paymentId;PAYMENT_ORIGIN:originalPaymentId",APPEND_ONLY/VOID_OR_REVERSE,UnifiedStrongerSourceFactory.financial,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
CLIENT_CREDIT,"app/src/main/kotlin/com/verto/app/feature/payment/bridge/PaymentAppAdapters.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,CLIENT_CREDIT:creditId,APPEND_ONLY/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
PURCHASE_ORDER,data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue,sync_outbox,mutation_id,PURCHASE_ORDER:purchaseOrderId,STATE_MACHINE/CANCEL,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
