aggregate_type,payload_version,owner_session,server_authoritative_source,bootstrap_materializer,snapshot_continuity_path,delete_or_absence_rule,visibility_rule,backfill_defined,future_write_covered,stronger_semantics_preserved,runtime_state,evidence
BUDGET,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
CASH_MOVEMENT,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
CASH_RECONCILIATION,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
CASH_REGISTER,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
CATEGORY,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
CLIENT_CREDIT,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
COMMISSION_PAYMENT,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
COST_ALLOCATION,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
CUSTOMER_PROFILE,2,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
EDUCATIONAL_CONTENT,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
EXPENSE,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
GOODS_RECEIPT,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
INVENTORY_COST_REVISION,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
INVENTORY_ITEM,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
INVENTORY_MOVEMENT,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
INVENTORY_UNIT,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
INVOICE,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
ITEM_CATEGORY,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
NOTE,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
NOTIFICATION,1,308,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
OPTIMAL_FOLLOW_UP,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
OPTIMAL_MAINTENANCE,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
OPTIMAL_VEHICLE,1,310,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
ORGANIZATION_SETTINGS,1,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
PARTY_IDENTITY,2,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
PARTY_ROLE,2,307,v313 coverage registry + authoritative domain source,change-log metadata materializer + declared domain-source materialization strategy,verto_append_sync_change atomic snapshot maintenance,DELETE=authoritative absence; ARCHIVE/VOID/REVERSE/CANCEL remain materialized state,organization + principal + required_permission + scope_definition_version,true,true,true,STATIC_DEFINED_SQL_NOT_EXECUTED,UnifiedSyncAggregateRegistry.kt; 20260821183000_v313_recovery_bootstrap_snapshot.sql
