scenario_id,category,fault,aggregate_scope,device_count,runtime_or_model,seed,expected_outcome,actual_outcome,cursor_invariant,outbox_invariant,effect_count_invariant,tenant_invariant,evidence
NET_OFFLINE_ONLINE,network,offline → online,ALL,2,MODEL,0,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
NET_PACKET_LOSS,network,packet loss,ALL,2,MODEL,1,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
NET_TIMEOUT_PRE_COMMIT,network,timeout before server commit,ALL,2,MODEL,2,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
NET_TIMEOUT_POST_COMMIT,network,timeout after server commit,FINANCIAL/INVENTORY,2,MODEL,3,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
NET_429,network,HTTP 429,ALL,2,MODEL,4,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
NET_5XX,network,HTTP 500/502/503/504,ALL,2,MODEL,5,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
NET_RECONNECT,network,reconnect loops,ALL,2,MODEL,6,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TIME_PLUS24,time,device +24h,ALL,2,MODEL,7,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TIME_MINUS24,time,device -24h,ALL,2,MODEL,8,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TIME_SAME_TS,time,same local timestamp,ALL,2,MODEL,9,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
PROC_LOCAL_TX,process,kill during local transaction,ALL,1,MODEL,10,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
