surface_id,file,symbol,category,aggregate_or_scope,current_runtime_callers,replacement,retire_gate,final_action,runtime_use_count,evidence
L001,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,KEY_LAST_PULLED_:6;getLastPulledAt:2;setLastPulledAt:4,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L002,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,KEY_LAST_PULLED_:3;getLastPulledAt:1;setLastPulledAt:2,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L003,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,KEY_LAST_PULLED_:6;getLastPulledAt:2;setLastPulledAt:4,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L004,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt,KEY_LAST_PULLED_:3;getLastPulledAt:1;setLastPulledAt:2,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L005,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoicePayments.kt,KEY_LAST_PULLED_:2;getLastPulledAt:1;setLastPulledAt:1,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L006,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,KEY_LAST_PULLED_:12;getLastPulledAt:4;setLastPulledAt:8,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L007,data/network/src/main/kotlin/com/verto/app/data/sync/SyncRuntime.kt,KEY_LAST_PULLED_:26;setLastPulledAt:1,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L008,data/preferences/src/main/kotlin/com/verto/app/utils/PreferenceKeys.kt,KEY_LAST_PULLED_:14,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L009,data/preferences/src/main/kotlin/com/verto/app/utils/PreferencesManager.kt,getLastPulledAt:2;setLastPulledAt:2,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L010,data/preferences/src/main/kotlin/com/verto/app/utils/SyncPreferencesStore.kt,KEY_LAST_PULLED_:14;getLastPulledAt:1;setLastPulledAt:1,TIMESTAMP_PULL,FILE_SCOPE,STATIC_CLASSIFIED,opaque server cursor + revision pull,wave6+observation+zero-use+old-client gate,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
