aggregate_id,migration_owner_session,producer_file,producer_symbol,producer_kind,origin,local_tables,write_operation,server_path,current_mechanism_before,capture_strategy_after,outbox_table,transaction_owner,mutation_id_source,organization_id_source,payload_version,operation_type,delete_policy,command_batch_strategy,attachment_strategy,legacy_compatibility_side_effect,remote_apply_exclusion,status,evidence
PARTY_IDENTITY,307,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt,insertClient,DOMAIN_COMMAND,LOCAL_MUTATION,clients,UPSERT,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#insertClient,command/write identity or one-time UUID,trusted SessionReader / domain tenant,2,UPSERT,TOMBSTONE,NONE,NONE,legacy dirty marker allowed,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#insertClient
PARTY_IDENTITY,307,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt,updateClient,DOMAIN_COMMAND,LOCAL_MUTATION,clients,UPSERT,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#updateClient,command/write identity or one-time UUID,trusted SessionReader / domain tenant,2,UPSERT,TOMBSTONE,NONE,NONE,legacy dirty marker allowed,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#updateClient
PARTY_IDENTITY,307,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt,deleteClientPermanently,DOMAIN_COMMAND,LOCAL_MUTATION,clients,DELETE,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#deleteClientPermanently,command/write identity or one-time UUID,trusted SessionReader / domain tenant,2,DELETE,TOMBSTONE,NONE,NONE,pendingClientDeletion AFTER durable commit,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#deleteClientPermanently
CUSTOMER_PROFILE,307,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt,writeNormalizedRolesAndProfiles,DOMAIN_COMMAND,LOCAL_MUTATION,customer_profiles,UPSERT,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#writeNormalizedRolesAndProfiles,command/write identity or one-time UUID,trusted SessionReader / domain tenant,2,UPSERT,TOMBSTONE,shared client command batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#writeNormalizedRolesAndProfiles
SUPPLIER_PROFILE,307,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt,writeNormalizedRolesAndProfiles,DOMAIN_COMMAND,LOCAL_MUTATION,supplier_profiles,UPSERT,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#writeNormalizedRolesAndProfiles,command/write identity or one-time UUID,trusted SessionReader / domain tenant,2,UPSERT,TOMBSTONE,shared client command batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/data/repository/ClientRepository.kt#writeNormalizedRolesAndProfiles
PARTY_IDENTITY,307,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,pullClients,LEGACY_PULL,REMOTE_APPLY,clients,UPSERT,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,NO_ENQUEUE_REMOTE_APPLY,NONE,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt#pullClients,command/write identity or one-time UUID,trusted SessionReader / domain tenant,2,UPSERT,TOMBSTONE,NONE,NONE,NONE,remote apply deliberately bypasses UnifiedOutboxWriter,REMOTE_APPLY_NO_ENQUEUE,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt#pullClients
PARTY_ROLE,307,feature/party/src/main/kotlin/com/verto/app/feature/party/data/RoomPartyRoleCommandAdapter.kt,attach,DOMAIN_COMMAND,LOCAL_MUTATION,party_roles,COMMAND,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROLE_STATE+AUDIT+party_sync_outbox SAME ROOM TRANSACTION,party_sync_outbox,feature/party/src/main/kotlin/com/verto/app/feature/party/data/RoomPartyRoleCommandAdapter.kt#attach,stable operationId,trusted SessionReader / domain tenant,2,COMMAND,TOMBSTONE,party role operationId,NONE,NONE,N/A,PRESERVED_STRONGER_OUTBOX,feature/party/src/main/kotlin/com/verto/app/feature/party/data/RoomPartyRoleCommandAdapter.kt#attach
PARTY_ROLE,307,feature/party/src/main/kotlin/com/verto/app/feature/party/data/RoomPartyRoleCommandAdapter.kt,setStatus,DOMAIN_COMMAND,LOCAL_MUTATION,party_roles,COMMAND,clients|verto_upsert_client_v1,party_sync_outbox + Party contract v2; legacy clients participant coexists,ROLE_STATE+AUDIT+party_sync_outbox SAME ROOM TRANSACTION,party_sync_outbox,feature/party/src/main/kotlin/com/verto/app/feature/party/data/RoomPartyRoleCommandAdapter.kt#setStatus,stable operationId,trusted SessionReader / domain tenant,2,COMMAND,TOMBSTONE,party role operationId,NONE,NONE,N/A,PRESERVED_STRONGER_OUTBOX,feature/party/src/main/kotlin/com/verto/app/feature/party/data/RoomPartyRoleCommandAdapter.kt#setStatus
NOTE,307,data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt,insertNote,DOMAIN_COMMAND,LOCAL_MUTATION,notes,UPSERT,notes,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt#insertNote,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt#insertNote
NOTE,307,data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt,deleteNote,DOMAIN_COMMAND,LOCAL_MUTATION,notes,DELETE,notes,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt#deleteNote,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,DELETE,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,data/operations/src/main/kotlin/com/verto/app/data/repository/NoteRepository.kt#deleteNote
