aggregate_id,migration_owner_session,conflict_policy,delete_policy,payload_version,server_paths,server_capture_status_v305,legacy_pull_file,legacy_pull_symbol,legacy_cursor_kind,v308_applier_file,v308_applier_symbol,local_tables,supported_operations,pending_local_mutation_guard,remote_apply_no_enqueue,transaction_group_behavior,tombstone_behavior,runtime_cutover_state,v308_status,evidence
BUDGET,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,budgets,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushBudgets|pushBudgetDeletions|pullBudgets,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyBudget,budgets,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyBudget
CASH_MOVEMENT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,cash_register_movements,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCashMovements|pullCashMovements,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,,,cash_register_movements,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
CASH_RECONCILIATION,310,SEMANTIC_COMMAND,NO_CLIENT_DELETE,1,cash_reconciliation_sessions|cash_denominations,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCashReconciliations|pushCashDenominations|pullCashReconciliations,FULL_SNAPSHOT_OR_NO_CURSOR,,,cash_reconciliation_sessions|cash_denominations,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
CASH_REGISTER,310,SERVER_AUTHORITATIVE,NO_CLIENT_DELETE,1,cash_register,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCashRegister|pullCashRegister,FULL_SNAPSHOT_OR_NO_CURSOR,,,cash_register,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
CATEGORY,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,categories,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushCategories|pushCategoryDeletions|pullCategories,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyCategory,categories,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyCategory
CLIENT_CREDIT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,client_credits,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClientCredits.kt,pushClientCredits|pullClientCredits,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,,,client_credits,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
COMMISSION_PAYMENT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,commission_payments,READ_ONLY_SERVER_AUTHORITY,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullCommissions,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,,,commission_payments,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
COST_ALLOCATION,310,IMMUTABLE_REVISION,NO_CLIENT_DELETE,1,cost_allocations,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCostAllocations|pullCostAllocations,FULL_SNAPSHOT_OR_NO_CURSOR,,,cost_allocations,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
CUSTOMER_PROFILE,307,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,2,clients|verto_upsert_client_v1,EXISTING_PARTY_CONTRACT_PRESERVED,data/database/src/main/kotlin/com/verto/app/data/local/entity/PartyNormalizedEntities.kt|data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt,CustomerProfileEntity|PartyMutationV2,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyCustomerProfile,customer_profiles,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,TOMBSTONE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyCustomerProfile
EDUCATIONAL_CONTENT,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,educational_topics|educational_topic_targets,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,feature/dashboard/src/main/kotlin/com/verto/app/feature/dashboard/data/education/EducationalContentSyncParticipant.kt,pushTopics|pushDeletions|pullTopics,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyEducationalContent,educational_topics|educational_topic_targets,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyEducationalContent
