aggregate_id,v304_migration_owner_session,server_object,current_server_presence,reconciliation_authority,object_kind,organization_column,write_producer,write_authority,current_rls_policy,capture_mode,capture_function,capture_trigger,payload_adapter,payload_version,delete_capture,transaction_group_source,actor_source,legacy_write_covered,admin_write_covered,service_role_write_covered,realtime_irrelevant_to_correctness,status,evidence,notes
BUDGET,307,budgets,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,cash / SyncCash,LEGACY_OR_DEFERRED_OWNER_307,budgets_all,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_307,1,DataStore pending budget deletion,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#pushBudgets|pushBudgetDeletions|pullBudgets | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CASH_MOVEMENT,310,cash_register_movements,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,cash / SyncCash,LEGACY_OR_DEFERRED_OWNER_310,cash_movements_delete|cash_movements_insert|cash_movements_select|cash_movements_update,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,NO_CLIENT_DELETE,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#pushCashMovements|pullCashMovements | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CASH_RECONCILIATION,310,cash_reconciliation_sessions,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,cash / SyncCash,LEGACY_OR_DEFERRED_OWNER_310,cash_reconciliation_sessions_all,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,DataStore pending reconciliation deletion,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#pushCashReconciliations|pushCashDenominations|pullCashReconciliations | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CASH_RECONCILIATION,310,cash_denominations,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,cash / SyncCash,LEGACY_OR_DEFERRED_OWNER_310,cash_denominations_all,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,DataStore pending reconciliation deletion,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#pushCashReconciliations|pushCashDenominations|pullCashReconciliations | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CASH_REGISTER,310,cash_register,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,cash / SyncCash,LEGACY_OR_DEFERRED_OWNER_310,cash_register_delete|cash_register_insert|cash_register_select|cash_register_update,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,NO_CLIENT_DELETE,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#pushCashRegister|pullCashRegister | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CATEGORY,307,categories,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,inventory / SyncInventory,LEGACY_OR_DEFERRED_OWNER_307,categories_org_isolation,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_307,1,DataStore pending category deletion,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt#pushCategories|pushCategoryDeletions|pullCategories | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CLIENT_CREDIT,310,client_credits,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,invoices / SyncClientCredits,LEGACY_OR_DEFERRED_OWNER_310,client_credits_org_isolation,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,NO_CLIENT_DELETE,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClientCredits.kt#pushClientCredits|pullClientCredits | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
COMMISSION_PAYMENT,310,commission_payments,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,cash / pullCommissions,SERVER_READ_ONLY,autodrive_select_commission_payments|commission_payments_select,READ_ONLY_SERVER_AUTHORITY,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,NO_CLIENT_DELETE,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,EXISTING_AUTHORITY_OR_NOT_APPLICABLE,EXISTING_AUTHORITY_OR_NOT_APPLICABLE,YES,SERVER_ONLY_DOCUMENTED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#pullCommissions | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
COST_ALLOCATION,310,cost_allocations,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,inventory / SyncCash cost allocations,LEGACY_OR_DEFERRED_OWNER_310,cost_allocations_all,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,DEFERRED_TO_SESSION_310,1,NO_CLIENT_DELETE,V305_SERVER_INFRA_ONLY;PRODUCER_OWNER_DEFERRED,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,DEFERRED_WITH_SAME_SERVER_OBJECT_OWNER,YES,DEFERRED_WITH_EXPLICIT_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt#pushCostAllocations|pullCostAllocations | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
CUSTOMER_PROFILE,307,clients,PRESENT_IN_EXACT_DUMP,EXACT_DUMP+SESSION_305_REVISION_2,TABLE,organization_id,clients / Party normalized contract,EXISTING_STRONGER_CONTRACT,clients_delete|clients_insert|clients_select|clients_update,EXISTING_PARTY_CONTRACT_PRESERVED,NONE_IN_305,NONE_ADDED_TO_BUSINESS_TABLES_IN_305,EXISTING_CONTRACT,2,legacy Party TOMBSTONE / unified DELETE mapping,EXISTING_STREAM,auth.uid()/server producer authority when migrated,PRESERVED_NOT_CUTOVER,EXISTING_AUTHORITY_OR_NOT_APPLICABLE,EXISTING_AUTHORITY_OR_NOT_APPLICABLE,YES,EXISTING_STRONGER_STREAM,data/database/src/main/kotlin/com/verto/app/data/local/entity/PartyNormalizedEntities.kt|data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt#CustomerProfileEntity|PartyMutationV2 | schema(2).sql sha256=fb83bf253fefe7f7b684a41dc5df6e06b0aa933a2c13e26cb835842e1c7f9ea8,Existing server object preserved; no V2 cutover in 305.
