aggregate_id,producer_classes,repository_or_writer,authoritative_durable_intent,generic_sync_outbox_for_same_command,server_path,v310_disposition,evidence
INVOICE,domain/application writers inventoried; legacy writers preserved until 314,financial_outbox,financial_outbox,0,financial_sync_apply_event_v1,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt; data/local financial outbox
PAYMENT,domain/application writers inventoried; legacy writers preserved until 314,financial_outbox,financial_outbox,0,financial_sync_apply_event_v1,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt
CLIENT_CREDIT,domain/application writers inventoried; legacy writers preserved until 314,client_credits immutable row,client_credits immutable row,0,verto_apply_client_credit_v310,STRONGER_BRIDGE_READY_SHADOW,data/database client credit DAO/entity; v310 server adapter
GOODS_RECEIPT,domain/application writers inventoried; legacy writers preserved until 314,purchase-cycle immutable fact,purchase-cycle immutable fact,0,verto_purchase_cycle_push_pre_v253,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
PURCHASE_MATCH,domain/application writers inventoried; legacy writers preserved until 314,purchase-cycle immutable fact,purchase-cycle immutable fact,0,verto_purchase_cycle_push_post_v253,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
PURCHASE_PAYMENT_OVERRIDE,domain/application writers inventoried; legacy writers preserved until 314,purchase-cycle immutable fact,purchase-cycle immutable fact,0,verto_purchase_cycle_push_post_v253,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
INVENTORY_MOVEMENT,domain/application writers inventoried; legacy writers preserved until 314,inventory_stock_outbox,inventory_stock_outbox,0,inventory_apply_commands_v2,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt; docs/sql/v262_inventory_atomic_sync.sql
INVENTORY_COST_REVISION,domain/application writers inventoried; legacy writers preserved until 314,inventory_cost_outbox,inventory_cost_outbox,0,inventory_apply_cost_revisions_v2,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt; docs/sql/v262_inventory_atomic_sync.sql
COST_ALLOCATION,domain/application writers inventoried; legacy writers preserved until 314,cost_allocations immutable row,cost_allocations immutable row,0,verto_apply_cost_allocation_v310,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/CostAllocationDao.kt
EXPENSE,domain/application writers inventoried; legacy writers preserved until 314,expenses lifecycle row,expenses lifecycle row,0,verto_apply_expense_command_v310,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/ExpenseDao.kt
CASH_REGISTER,domain/application writers inventoried; legacy writers preserved until 314,server read model,server read model,0,cash_register,SERVER_AUTHORITATIVE_NO_CLIENT_PUSH,data/database/src/main/kotlin/com/verto/app/data/local/dao/CashRegisterDao.kt
CASH_MOVEMENT,domain/application writers inventoried; legacy writers preserved until 314,cash movement immutable row,cash movement immutable row,0,verto_apply_cash_movement_v310,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/CashRegisterDao.kt
CASH_RECONCILIATION,domain/application writers inventoried; legacy writers preserved until 314,cash reconciliation state machine,cash reconciliation state machine,0,verto_apply_cash_reconciliation_v310,STRONGER_BRIDGE_READY_SHADOW,data/database cash reconciliation DAO; v310 server adapter
COMMISSION_PAYMENT,domain/application writers inventoried; legacy writers preserved until 314,server read model,server read model,0,commission_payments,SERVER_AUTHORITATIVE_NO_CLIENT_PUSH,commission payment DAO; server-owned authority
OPTIMAL_VEHICLE,domain/application writers inventoried; legacy writers preserved until 314,optimal_outbox,optimal_outbox,0,optimal_apply_sync_operation_v2,PRESERVED_EXISTING_STRONGER_RUNTIME,feature/integration/optimal/RoomOptimalOutboxRepository.kt; OptimalOutboxSyncParticipant.kt
OPTIMAL_MAINTENANCE,domain/application writers inventoried; legacy writers preserved until 314,optimal_outbox,optimal_outbox,0,optimal_apply_sync_operation_v2,PRESERVED_EXISTING_STRONGER_RUNTIME,feature/integration/optimal/RoomOptimalOutboxRepository.kt; OptimalOutboxSyncParticipant.kt
OPTIMAL_FOLLOW_UP,domain/application writers inventoried; legacy writers preserved until 314,optimal_outbox,optimal_outbox,0,optimal_apply_sync_operation_v2,PRESERVED_EXISTING_STRONGER_RUNTIME,feature/integration/optimal/RoomOptimalOutboxRepository.kt; OptimalOutboxSyncParticipant.kt
